OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,OrderQuantity,DiscountApplied,UnitCost,UnitPrice,TotalRevenue,TotalCost,Profit,DiscountedRevenue
"SO - 0001986",Distributor,WARE-UHY1004,2018-10-27,2019-01-04,2019-01-09,2019-01-16,USD,21,29,222,15,2,0.075,108.34,221.1,442.2,216.68,225.52,409.04
"SO - 0001987",Online,WARE-NMK1003,2018-10-27,2019-01-04,2019-01-22,2019-01-29,USD,20,49,195,42,3,0.05,632.68,891.1,2673.3,1898.04,775.26,2539.64
"SO - 0001992",Online,WARE-PUJ1005,2018-10-27,2019-01-05,2019-01-10,2019-01-16,USD,20,32,268,7,4,0.4,493.79,897.8,3591.2,1975.16,1616.04,2154.72
"SO - 0001994",Online,WARE-UHY1004,2018-07-19,2019-01-05,2019-01-12,2019-01-14,USD,18,43,235,7,6,0.05,397.98,904.5,5427,2387.88,3039.12,5155.65
"SO - 0001998",In-Store,WARE-MKL1006,2018-10-27,2019-01-05,2019-01-16,2019-01-25,USD,11,8,355,3,7,0.075,706.25,850.9,5956.3,4943.75,1012.55,5509.58
"SO - 0002001",Online,WARE-PUJ1005,2018-10-27,2019-01-06,2019-01-27,2019-01-30,USD,15,40,279,42,1,0.05,145.12,254.6,254.6,145.12,109.48,241.87
"SO - 0002004",In-Store,WARE-NMK1003,2018-10-27,2019-01-06,2019-01-20,2019-01-25,USD,2,12,184,15,3,0.15,596.64,917.9,2753.7,1789.92,963.78,2340.64
"SO - 0002008",Online,WARE-NMK1003,2018-07-19,2019-01-07,2019-01-10,2019-01-15,USD,12,27,110,26,5,0.05,470.34,783.9,3919.5,2351.7,1567.8,3723.52
"SO - 0002009",Online,WARE-NMK1003,2018-07-19,2019-01-07,2019-01-24,2019-02-03,USD,13,42,163,12,6,0.075,440.32,830.8,4984.8,2641.92,2342.88,4610.94
"SO - 0002013",Wholesale,WARE-UHY1004,2018-07-19,2019-01-07,2019-01-20,2019-01-25,USD,26,13,241,17,4,0.075,430.94,897.8,3591.2,1723.76,1867.44,3321.86
"SO - 0002019",In-Store,WARE-PUJ1005,2018-07-19,2019-01-08,2019-02-05,2019-02-13,USD,4,13,291,43,3,0.1,105.53,234.5,703.5,316.59,386.91,633.15
"SO - 0002021",In-Store,WARE-NMK1003,2018-10-27,2019-01-08,2019-01-12,2019-01-16,USD,4,39,186,38,5,0.05,87.1,174.2,871,435.5,435.5,827.45
"SO - 0002028",In-Store,WARE-PUJ1005,2018-10-27,2019-01-08,2019-01-31,2019-02-01,USD,11,1,263,30,8,0.05,335.13,817.4,6539.2,2681.04,3858.16,6212.24
"SO - 0002032",Distributor,WARE-NMK1003,2018-10-27,2019-01-09,2019-01-25,2019-02-01,USD,24,47,159,39,5,0.075,142.71,201,1005,713.55,291.45,929.62
"SO - 0002038",Online,WARE-MKL1006,2018-10-27,2019-01-09,2019-01-23,2019-01-28,USD,15,49,359,30,3,0.15,481.19,891.1,2673.3,1443.57,1229.73,2272.31
"SO - 0002044",In-Store,WARE-PUJ1005,2018-07-19,2019-01-10,2019-01-19,2019-01-20,USD,1,5,313,22,7,0.05,135.07,214.4,1500.8,945.49,555.31,1425.76
"SO - 0002050",In-Store,WARE-NMK1003,2018-10-27,2019-01-10,2019-01-21,2019-01-29,USD,5,34,168,37,3,0.05,540.15,931.3,2793.9,1620.45,1173.45,2654.2
"SO - 0002052",In-Store,WARE-NMK1003,2018-10-27,2019-01-10,2019-01-20,2019-01-28,USD,8,13,174,37,4,0.15,101.3,241.2,964.8,405.2,559.6,820.08
"SO - 0002054",In-Store,WARE-NBV1002,2018-10-27,2019-01-11,2019-02-07,2019-02-11,USD,10,30,87,42,3,0.05,497.41,857.6,2572.8,1492.23,1080.57,2444.16
"SO - 0002065",Online,WARE-PUJ1005,2018-07-19,2019-01-12,2019-02-07,2019-02-10,USD,19,31,285,8,4,0.1,665.71,964.8,3859.2,2662.84,1196.36,3473.28
"SO - 0002066",In-Store,WARE-PUJ1005,2018-10-27,2019-01-12,2019-01-28,2019-02-06,USD,6,27,307,30,2,0.075,133.2,187.6,375.2,266.4,108.8,347.06
"SO - 0002067",Wholesale,WARE-PUJ1005,2018-07-19,2019-01-12,2019-01-22,2019-01-29,USD,27,12,328,23,3,0.15,295.47,703.5,2110.5,886.41,1224.09,1793.92
"SO - 0002070",In-Store,WARE-NMK1003,2018-10-27,2019-01-12,2019-01-15,2019-01-20,USD,3,50,127,37,7,0.2,159.93,207.7,1453.9,1119.51,334.39,1163.12
"SO - 0002075",In-Store,WARE-NMK1003,2018-10-27,2019-01-13,2019-01-25,2019-01-29,USD,6,27,116,37,6,0.15,743.7,991.6,5949.6,4462.2,1487.4,5057.16
"SO - 0002076",In-Store,WARE-NBV1002,2018-10-27,2019-01-13,2019-01-28,2019-01-29,USD,3,13,63,29,7,0.05,570.3,891.1,6237.7,3992.1,2245.6,5925.82
"SO - 0002080",In-Store,WARE-NMK1003,2018-07-19,2019-01-14,2019-01-20,2019-01-30,USD,1,41,190,8,2,0.4,142.84,174.2,348.4,285.68,62.72,209.04
"SO - 0002089",Distributor,WARE-PUJ1005,2018-07-19,2019-01-15,2019-02-05,2019-02-15,USD,23,41,273,32,6,0.05,658.28,877.7,5266.2,3949.68,1316.52,5002.89
"SO - 0002092",In-Store,WARE-NMK1003,2018-10-27,2019-01-15,2019-02-09,2019-02-19,USD,9,39,88,18,4,0.05,743.7,991.6,3966.4,2974.8,991.6,3768.08
"SO - 0002094",Online,WARE-XYS1001,2018-10-27,2019-01-16,2019-02-11,2019-02-14,USD,18,19,36,6,1,0.05,644.54,871,871,644.54,226.46,827.45
"SO - 0002097",In-Store,WARE-MKL1006,2018-10-27,2019-01-16,2019-02-13,2019-02-23,USD,11,39,334,44,8,0.075,90.45,201,1608,723.6,884.4,1487.4
"SO - 0002102",In-Store,WARE-NMK1003,2018-10-27,2019-01-17,2019-02-09,2019-02-18,USD,1,19,91,17,4,0.05,388.6,971.5,3886,1554.4,2331.6,3691.7
"SO - 0002110",Distributor,WARE-PUJ1005,2018-10-27,2019-01-18,2019-02-06,2019-02-15,USD,23,38,300,27,5,0.15,743.43,978.2,4891,3717.15,1173.85,4157.35
"SO - 0002112",In-Store,WARE-UHY1004,2018-10-27,2019-01-18,2019-01-27,2019-02-02,USD,12,7,213,46,7,0.4,104.39,254.6,1782.2,730.73,1051.47,1069.32
"SO - 0002120",Distributor,WARE-MKL1006,2018-10-27,2019-01-19,2019-01-22,2019-01-26,USD,21,33,362,44,2,0.2,82.41,201,402,164.82,237.18,321.6
"SO - 0002122",In-Store,WARE-XYS1001,2018-10-27,2019-01-19,2019-02-06,2019-02-13,USD,6,42,7,8,2,0.1,689.83,884.4,1768.8,1379.66,389.14,1591.92
"SO - 0002125",Online,WARE-NMK1003,2018-10-27,2019-01-20,2019-02-08,2019-02-09,USD,20,38,197,39,1,0.05,547.06,770.5,770.5,547.06,223.44,731.98
"SO - 0002127",Online,WARE-NMK1003,2018-10-27,2019-01-20,2019-02-03,2019-02-06,USD,15,31,102,20,3,0.4,661.63,837.5,2512.5,1984.89,527.61,1507.5
"SO - 0002129",In-Store,WARE-UHY1004,2018-10-27,2019-01-20,2019-02-04,2019-02-11,USD,7,14,246,9,3,0.1,198.59,254.6,763.8,595.77,168.03,687.42
"SO - 0002130",Online,WARE-PUJ1005,2018-10-27,2019-01-20,2019-02-03,2019-02-08,USD,20,7,294,20,2,0.4,78.39,174.2,348.4,156.78,191.62,209.04
"SO - 0002134",Online,WARE-NMK1003,2018-10-27,2019-01-20,2019-01-24,2019-01-30,USD,19,7,170,23,3,0.05,93.8,234.5,703.5,281.4,422.1,668.32
"SO - 0002148",Online,WARE-PUJ1005,2018-10-27,2019-01-21,2019-01-26,2019-02-01,USD,18,49,278,23,6,0.05,634.62,857.6,5145.6,3807.72,1337.88,4888.32
"SO - 0002156",Online,WARE-NBV1002,2018-10-27,2019-01-23,2019-02-16,2019-02-26,USD,19,10,75,36,8,0.05,222.44,268,2144,1779.52,364.48,2036.8
"SO - 0002157",In-Store,WARE-UHY1004,2018-10-27,2019-01-23,2019-02-19,2019-02-24,USD,12,9,225,11,4,0.05,92.19,214.4,857.6,368.76,488.84,814.72
"SO - 0002158",Online,WARE-MKL1006,2018-10-27,2019-01-23,2019-02-03,2019-02-05,USD,19,12,346,34,5,0.075,433.09,676.7,3383.5,2165.45,1218.05,3129.74
"SO - 0002161",In-Store,WARE-MKL1006,2018-10-27,2019-01-23,2019-02-03,2019-02-11,USD,7,15,352,33,2,0.1,113.9,167.5,335,227.8,107.2,301.5
"SO - 0002167",In-Store,WARE-MKL1006,2018-10-27,2019-01-24,2019-02-05,2019-02-10,USD,5,1,335,8,1,0.075,116.31,207.7,207.7,116.31,91.39,192.12
"SO - 0002177",Online,WARE-UHY1004,2018-10-27,2019-01-26,2019-02-10,2019-02-15,USD,14,42,227,47,6,0.2,707.79,931.3,5587.8,4246.74,1341.06,4470.24
"SO - 0002188",Wholesale,WARE-XYS1001,2018-10-27,2019-01-27,2019-02-15,2019-02-17,USD,26,13,21,16,6,0.075,126.3,194.3,1165.8,757.8,408,1078.36
"SO - 0002204",In-Store,WARE-PUJ1005,2018-10-27,2019-01-28,2019-02-20,2019-02-28,USD,8,49,261,36,7,0.075,141.24,207.7,1453.9,988.68,465.22,1344.86
"SO - 0002206",In-Store,WARE-NBV1002,2018-10-27,2019-01-28,2019-02-01,2019-02-10,USD,12,25,73,41,3,0.1,109.75,174.2,522.6,329.25,193.35,470.34
"SO - 0002215",Wholesale,WARE-NMK1003,2018-10-27,2019-01-29,2019-02-18,2019-02-19,USD,27,3,178,16,6,0.1,114.97,221.1,1326.6,689.82,636.78,1193.94
"SO - 0002216",Online,WARE-NMK1003,2018-10-27,2019-01-29,2019-02-09,2019-02-12,USD,13,4,115,27,3,0.1,492.45,984.9,2954.7,1477.35,1477.35,2659.23
"SO - 0002218",In-Store,WARE-NMK1003,2018-10-27,2019-01-30,2019-02-18,2019-02-28,USD,5,34,101,24,7,0.1,577.41,931.3,6519.1,4041.87,2477.23,5867.19
"SO - 0002245",Online,WARE-MKL1006,2018-10-27,2019-02-03,2019-02-24,2019-03-02,USD,15,6,353,32,4,0.2,125.42,174.2,696.8,501.68,195.12,557.44
"SO - 0002248",In-Store,WARE-MKL1006,2018-10-27,2019-02-03,2019-02-16,2019-02-24,USD,7,40,348,19,5,0.15,108.88,167.5,837.5,544.4,293.1,711.88
"SO - 0002250",Wholesale,WARE-PUJ1005,2018-10-27,2019-02-04,2019-02-18,2019-02-21,USD,28,41,279,19,6,0.075,576.87,703.5,4221,3461.22,759.78,3904.42
"SO - 0002253",Online,WARE-NMK1003,2018-10-27,2019-02-04,2019-03-04,2019-03-07,USD,14,48,130,6,1,0.075,803.2,991.6,991.6,803.2,188.4,917.23
"SO - 0002256",In-Store,WARE-NMK1003,2018-10-27,2019-02-05,2019-03-01,2019-03-05,USD,12,24,178,41,3,0.2,501.16,911.2,2733.6,1503.48,1230.12,2186.88
"SO - 0002258",Distributor,WARE-PUJ1005,2018-10-27,2019-02-05,2019-03-03,2019-03-06,USD,23,48,312,7,5,0.075,708.79,998.3,4991.5,3543.95,1447.55,4617.14
"SO - 0002261",Wholesale,WARE-NBV1002,2018-10-27,2019-02-05,2019-02-08,2019-02-12,USD,26,36,76,41,7,0.4,143.05,234.5,1641.5,1001.35,640.15,984.9
"SO - 0002263",In-Store,WARE-UHY1004,2018-10-27,2019-02-05,2019-02-27,2019-03-02,USD,5,37,219,39,2,0.1,449.97,978.2,1956.4,899.94,1056.46,1760.76
"SO - 0002271",Distributor,WARE-XYS1001,2018-10-27,2019-02-06,2019-02-08,2019-02-16,USD,23,6,47,5,3,0.15,120.6,268,804,361.8,442.2,683.4
"SO - 0002274",Online,WARE-MKL1006,2018-10-27,2019-02-06,2019-02-20,2019-02-27,USD,18,13,352,7,2,0.3,148.74,247.9,495.8,297.48,198.32,347.06
"SO - 0002276",Online,WARE-UHY1004,2018-10-27,2019-02-06,2019-02-25,2019-03-05,USD,14,8,218,22,8,0.05,712.88,938,7504,5703.04,1800.96,7128.8
"SO - 0002286",Distributor,WARE-UHY1004,2018-10-27,2019-02-07,2019-02-28,2019-03-01,USD,21,2,212,38,1,0.075,95.07,221.1,221.1,95.07,126.03,204.52
"SO - 0002287",In-Store,WARE-XYS1001,2018-10-27,2019-02-07,2019-03-06,2019-03-10,USD,4,24,30,22,2,0.1,93.8,187.6,375.2,187.6,187.6,337.68
"SO - 0002293",In-Store,WARE-UHY1004,2018-10-27,2019-02-08,2019-02-20,2019-02-23,USD,11,36,255,27,4,0.4,166.43,241.2,964.8,665.72,299.08,578.88
"SO - 0002300",In-Store,WARE-PUJ1005,2018-10-27,2019-02-09,2019-02-24,2019-03-02,USD,8,44,300,2,8,0.15,612.05,971.5,7772,4896.4,2875.6,6606.2
"SO - 0002302",Distributor,WARE-MKL1006,2018-10-27,2019-02-09,2019-03-08,2019-03-12,USD,25,25,330,23,6,0.075,110.95,241.2,1447.2,665.7,781.5,1338.66
"SO - 0002304",In-Store,WARE-NMK1003,2018-10-27,2019-02-10,2019-03-03,2019-03-08,USD,10,30,90,13,5,0.075,337.68,844.2,4221,1688.4,2532.6,3904.42
"SO - 0002307",Online,WARE-XYS1001,2018-10-27,2019-02-10,2019-02-22,2019-03-04,USD,12,17,12,44,4,0.075,78.73,167.5,670,314.92,355.08,619.75
"SO - 0002315",Distributor,WARE-UHY1004,2018-10-27,2019-02-11,2019-02-27,2019-03-03,USD,21,17,236,45,4,0.1,569.23,964.8,3859.2,2276.92,1582.28,3473.28
"SO - 0002319",In-Store,WARE-NMK1003,2018-10-27,2019-02-11,2019-03-01,2019-03-10,USD,12,34,173,30,3,0.05,646.68,850.9,2552.7,1940.04,612.66,2425.06
"SO - 0002325",In-Store,WARE-NMK1003,2018-10-27,2019-02-12,2019-03-06,2019-03-07,USD,7,47,97,9,5,0.05,674.96,978.2,4891,3374.8,1516.2,4646.45
"SO - 0002327",In-Store,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-09,2019-03-10,USD,11,7,322,31,4,0.075,167.23,214.4,857.6,668.92,188.68,793.28
"SO - 0002330",Wholesale,WARE-PUJ1005,2018-10-27,2019-02-12,2019-03-10,2019-03-15,USD,28,40,284,10,7,0.075,70.35,167.5,1172.5,492.45,680.05,1084.56
"SO - 0002335",Online,WARE-UHY1004,2018-10-27,2019-02-13,2019-02-19,2019-02-24,USD,15,50,210,4,1,0.075,311.28,676.7,676.7,311.28,365.42,625.95
"SO - 0002338",Distributor,WARE-UHY1004,2018-10-27,2019-02-14,2019-03-03,2019-03-13,USD,22,23,248,12,3,0.075,178.22,254.6,763.8,534.66,229.14,706.52
"SO - 0002341",In-Store,WARE-XYS1001,2018-10-27,2019-02-14,2019-02-23,2019-02-25,USD,7,38,19,10,7,0.05,104.79,227.8,1594.6,733.53,861.07,1514.87
"SO - 0002344",In-Store,WARE-PUJ1005,2018-10-27,2019-02-14,2019-03-06,2019-03-10,USD,12,31,319,18,3,0.1,181.3,221.1,663.3,543.9,119.4,596.97
"SO - 0002346",Online,WARE-NMK1003,2018-10-27,2019-02-14,2019-03-09,2019-03-18,USD,20,13,129,34,1,0.05,453.05,984.9,984.9,453.05,531.85,935.66
"SO - 0002348",Wholesale,WARE-NMK1003,2018-10-27,2019-02-15,2019-03-05,2019-03-12,USD,27,1,93,9,3,0.2,143.72,261.3,783.9,431.16,352.74,627.12
"SO - 0002350",In-Store,WARE-PUJ1005,2018-10-27,2019-02-15,2019-03-13,2019-03-22,USD,9,23,318,37,6,0.1,486.42,884.4,5306.4,2918.52,2387.88,4775.76
"SO - 0002351",Distributor,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-16,2019-03-17,USD,25,11,172,14,6,0.2,621.89,797.3,4783.8,3731.34,1052.46,3827.04
"SO - 0002355",In-Store,WARE-PUJ1005,2018-10-27,2019-02-16,2019-02-24,2019-02-25,USD,10,3,285,6,5,0.1,120.6,167.5,837.5,603,234.5,753.75
"SO - 0002356",Wholesale,WARE-NMK1003,2018-10-27,2019-02-16,2019-03-05,2019-03-11,USD,28,47,105,41,6,0.15,512.55,683.4,4100.4,3075.3,1025.1,3485.34
"SO - 0002366",In-Store,WARE-PUJ1005,2018-10-27,2019-02-17,2019-02-21,2019-03-01,USD,11,21,311,25,5,0.05,141.84,194.3,971.5,709.2,262.3,922.92
"SO - 0002370",In-Store,WARE-PUJ1005,2018-10-27,2019-02-17,2019-02-26,2019-02-28,USD,3,13,318,6,5,0.15,101.04,194.3,971.5,505.2,466.3,825.78
"SO - 0002373",Distributor,WARE-NMK1003,2018-10-27,2019-02-17,2019-03-16,2019-03-19,USD,22,9,94,17,5,0.05,101.04,174.2,871,505.2,365.8,827.45
"SO - 0002376",In-Store,WARE-UHY1004,2018-10-27,2019-02-18,2019-03-12,2019-03-22,USD,7,3,227,26,5,0.15,718.24,897.8,4489,3591.2,897.8,3815.65
"SO - 0002377",Wholesale,WARE-XYS1001,2018-10-27,2019-02-18,2019-02-27,2019-03-08,USD,27,5,48,7,4,0.075,455.87,844.2,3376.8,1823.48,1553.32,3123.54
"SO - 0002380",In-Store,WARE-PUJ1005,2018-10-27,2019-02-18,2019-03-05,2019-03-10,USD,1,17,293,4,3,0.05,820.08,964.8,2894.4,2460.24,434.16,2749.68
"SO - 0002382",Online,WARE-XYS1001,2018-10-27,2019-02-19,2019-03-02,2019-03-11,USD,15,9,41,39,8,0.075,401.06,978.2,7825.6,3208.48,4617.12,7238.68
"SO - 0002396",In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-15,2019-03-25,USD,11,36,91,46,8,0.15,614.99,917.9,7343.2,4919.92,2423.28,6241.72
"SO - 0002397",In-Store,WARE-NMK1003,2018-10-27,2019-02-20,2019-03-12,2019-03-17,USD,2,34,197,43,7,0.1,85.16,207.7,1453.9,596.12,857.78,1308.51
"SO - 0002399",Online,WARE-PUJ1005,2018-10-27,2019-02-20,2019-03-13,2019-03-14,USD,19,2,278,5,7,0.1,103.18,234.5,1641.5,722.26,919.24,1477.35
"SO - 0002403",Online,WARE-XYS1001,2018-10-27,2019-02-21,2019-02-26,2019-03-05,USD,19,25,21,12,8,0.2,619.08,884.4,7075.2,4952.64,2122.56,5660.16
"SO - 0002405",Wholesale,WARE-XYS1001,2018-10-27,2019-02-22,2019-03-14,2019-03-20,USD,27,23,22,6,1,0.3,694.66,964.8,964.8,694.66,270.14,675.36
"SO - 0002407",In-Store,WARE-XYS1001,2018-10-27,2019-02-22,2019-03-19,2019-03-21,USD,10,12,17,42,4,0.075,179.96,227.8,911.2,719.84,191.36,842.86
"SO - 0002416",Online,WARE-NMK1003,2018-10-27,2019-02-23,2019-03-02,2019-03-06,USD,19,8,148,4,7,0.05,393.96,804,5628,2757.72,2870.28,5346.6
"SO - 0002417",In-Store,WARE-NBV1002,2018-10-27,2019-02-23,2019-03-08,2019-03-12,USD,7,44,62,28,6,0.05,101.3,241.2,1447.2,607.8,839.4,1374.84
"SO - 0002423",Online,WARE-NBV1002,2018-10-27,2019-02-23,2019-03-10,2019-03-14,USD,17,36,61,6,1,0.075,168.04,221.1,221.1,168.04,53.06,204.52
"SO - 0002426",In-Store,WARE-XYS1001,2018-10-27,2019-02-24,2019-03-05,2019-03-06,USD,8,21,20,35,6,0.3,227.8,268,1608,1366.8,241.2,1125.6
"SO - 0002428",Online,WARE-PUJ1005,2018-10-27,2019-02-24,2019-03-20,2019-03-27,USD,12,32,305,21,5,0.3,515.9,938,4690,2579.5,2110.5,3283
"SO - 0002429",In-Store,WARE-PUJ1005,2018-10-27,2019-02-24,2019-03-07,2019-03-17,USD,8,33,284,3,3,0.15,450.24,938,2814,1350.72,1463.28,2391.9
"SO - 0002438",Online,WARE-UHY1004,2018-10-27,2019-02-25,2019-03-06,2019-03-12,USD,14,44,223,45,8,0.05,684.61,877.7,7021.6,5476.88,1544.72,6670.52
"SO - 0002443",Distributor,WARE-MKL1006,2018-10-27,2019-02-26,2019-03-11,2019-03-20,USD,21,48,337,44,6,0.075,168.04,254.6,1527.6,1008.24,519.36,1413.03
"SO - 0002444",Distributor,WARE-PUJ1005,2018-10-27,2019-02-27,2019-03-06,2019-03-10,USD,25,32,311,24,7,0.05,440.59,917.9,6425.3,3084.13,3341.17,6104.04
"SO - 0002447",In-Store,WARE-UHY1004,2018-10-27,2019-02-27,2019-03-27,2019-04-06,USD,11,43,245,26,1,0.075,106.13,241.2,241.2,106.13,135.07,223.11
"SO - 0002450",Online,WARE-MKL1006,2018-10-27,2019-02-27,2019-03-12,2019-03-14,USD,18,47,354,38,4,0.1,664.37,991.6,3966.4,2657.48,1308.92,3569.76
"SO - 0002454",Distributor,WARE-PUJ1005,2018-10-27,2019-02-27,2019-03-17,2019-03-20,USD,21,50,321,34,4,0.075,450.24,938,3752,1800.96,1951.04,3470.6
"SO - 0002482",In-Store,WARE-NMK1003,2018-10-27,2019-03-03,2019-03-28,2019-03-29,USD,9,10,116,28,4,0.1,564.94,911.2,3644.8,2259.76,1385.04,3280.32
"SO - 0002483",Wholesale,WARE-PUJ1005,2018-10-27,2019-03-03,2019-03-30,2019-04-03,USD,28,19,279,15,4,0.075,502.5,837.5,3350,2010,1340,3098.75
"SO - 0002493",In-Store,WARE-MKL1006,2018-10-27,2019-03-06,2019-03-28,2019-04-02,USD,4,49,351,6,2,0.05,674.29,911.2,1822.4,1348.58,473.82,1731.28
"SO - 0002501",Wholesale,WARE-XYS1001,2018-10-27,2019-03-08,2019-03-25,2019-03-31,USD,28,4,44,43,5,0.1,574.06,844.2,4221,2870.3,1350.7,3798.9
"SO - 0002509",Online,WARE-UHY1004,2018-10-27,2019-03-08,2019-03-12,2019-03-20,USD,13,41,206,31,2,0.05,105.06,214.4,428.8,210.12,218.68,407.36
"SO - 0002518",In-Store,WARE-XYS1001,2018-10-27,2019-03-10,2019-03-19,2019-03-25,USD,10,48,26,32,6,0.15,763.53,991.6,5949.6,4581.18,1368.42,5057.16
"SO - 0002519",Online,WARE-NMK1003,2018-10-27,2019-03-10,2019-03-13,2019-03-23,USD,17,31,90,9,7,0.075,136.01,234.5,1641.5,952.07,689.43,1518.39
"SO - 0002521",Online,WARE-NBV1002,2018-10-27,2019-03-10,2019-03-16,2019-03-26,USD,19,5,68,7,2,0.1,117.18,221.1,442.2,234.36,207.84,397.98
"SO - 0002522",Distributor,WARE-PUJ1005,2018-10-27,2019-03-10,2019-03-25,2019-04-02,USD,23,33,284,34,7,0.3,110.08,207.7,1453.9,770.56,683.34,1017.73
"SO - 0002541",Wholesale,WARE-NBV1002,2018-10-27,2019-03-13,2019-03-15,2019-03-23,USD,27,14,80,35,5,0.075,92.26,180.9,904.5,461.3,443.2,836.66
"SO - 0002545",In-Store,WARE-PUJ1005,2018-10-27,2019-03-14,2019-04-07,2019-04-15,USD,2,42,285,41,6,0.075,441.66,690.1,4140.6,2649.96,1490.64,3830.06
"SO - 0002546",Online,WARE-NMK1003,2018-10-27,2019-03-14,2019-03-27,2019-04-02,USD,19,44,200,46,2,0.15,703.5,837.5,1675,1407,268,1423.75
"SO - 0002554",In-Store,WARE-NMK1003,2018-10-27,2019-03-15,2019-03-29,2019-04-08,USD,11,18,156,46,1,0.3,409.77,931.3,931.3,409.77,521.53,651.91
"SO - 0002558",Wholesale,WARE-MKL1006,2018-10-27,2019-03-15,2019-03-17,2019-03-22,USD,26,32,351,14,8,0.15,106.53,201,1608,852.24,755.76,1366.8
"SO - 0002559",In-Store,WARE-PUJ1005,2018-10-27,2019-03-15,2019-03-17,2019-03-25,USD,6,17,295,26,2,0.4,170.85,227.8,455.6,341.7,113.9,273.36
"SO - 0002563",Distributor,WARE-NMK1003,2018-10-27,2019-03-16,2019-03-24,2019-03-26,USD,20,7,152,4,1,0.15,201.2,261.3,261.3,201.2,60.1,222.1
"SO - 0002564",Online,WARE-XYS1001,2018-10-27,2019-03-16,2019-04-01,2019-04-03,USD,12,43,2,28,6,0.15,103.85,167.5,1005,623.1,381.9,854.25
"SO - 0002570",Online,WARE-MKL1006,2019-02-04,2019-03-17,2019-04-08,2019-04-12,USD,13,32,350,11,1,0.05,428.26,911.2,911.2,428.26,482.94,865.64
"SO - 0002577",In-Store,WARE-NMK1003,2018-10-27,2019-03-18,2019-03-29,2019-04-06,USD,3,41,164,35,8,0.15,795.22,958.1,7664.8,6361.76,1303.04,6515.08
"SO - 0002579",In-Store,WARE-MKL1006,2019-02-04,2019-03-18,2019-04-03,2019-04-06,USD,6,28,358,30,7,0.075,559.92,917.9,6425.3,3919.44,2505.86,5943.4
"SO - 0002582",Wholesale,WARE-XYS1001,2018-10-27,2019-03-18,2019-04-08,2019-04-18,USD,28,4,57,2,8,0.1,798.64,998.3,7986.4,6389.12,1597.28,7187.76
"SO - 0002585",In-Store,WARE-NBV1002,2019-02-04,2019-03-18,2019-03-30,2019-04-09,USD,8,46,63,45,3,0.05,203.81,261.3,783.9,611.43,172.47,744.7
"SO - 0002587",Online,WARE-NMK1003,2018-10-27,2019-03-19,2019-04-12,2019-04-17,USD,12,48,131,39,7,0.075,227.8,268,1876,1594.6,281.4,1735.3
"SO - 0002589",Distributor,WARE-UHY1004,2018-10-27,2019-03-19,2019-03-25,2019-04-04,USD,21,4,217,35,4,0.1,405.22,723.6,2894.4,1620.88,1273.52,2604.96
"SO - 0002592",Online,WARE-PUJ1005,2019-02-04,2019-03-19,2019-04-16,2019-04-18,USD,15,47,319,8,6,0.075,774.65,944.7,5668.2,4647.9,1020.3,5243.08
"SO - 0002596",Wholesale,WARE-PUJ1005,2018-10-27,2019-03-20,2019-04-01,2019-04-11,USD,27,19,323,36,4,0.1,692.24,844.2,3376.8,2768.96,607.84,3039.12
"SO - 0002605",Online,WARE-NMK1003,2018-10-27,2019-03-22,2019-04-05,2019-04-15,USD,15,47,186,4,3,0.3,153.7,247.9,743.7,461.1,282.6,520.59
"SO - 0002606",In-Store,WARE-NMK1003,2019-02-04,2019-03-22,2019-04-08,2019-04-10,USD,7,44,123,28,7,0.05,125.69,187.6,1313.2,879.83,433.37,1247.54
"SO - 0002609",Distributor,WARE-NMK1003,2018-10-27,2019-03-22,2019-03-27,2019-03-28,USD,22,25,122,39,3,0.05,471.68,857.6,2572.8,1415.04,1157.76,2444.16
"SO - 0002616",In-Store,WARE-PUJ1005,2019-02-04,2019-03-23,2019-04-15,2019-04-20,USD,4,23,327,42,8,0.1,91.92,187.6,1500.8,735.36,765.44,1350.72
"SO - 0002618",In-Store,WARE-NMK1003,2018-10-27,2019-03-23,2019-03-30,2019-03-31,USD,2,43,194,39,5,0.05,125.42,174.2,871,627.1,243.9,827.45
"SO - 0002621",Distributor,WARE-NMK1003,2018-10-27,2019-03-24,2019-04-19,2019-04-20,USD,24,12,193,1,3,0.4,665.18,978.2,2934.6,1995.54,939.06,1760.76
"SO - 0002626",In-Store,WARE-UHY1004,2019-02-04,2019-03-24,2019-03-29,2019-03-30,USD,5,42,208,46,2,0.2,216.88,261.3,522.6,433.76,88.84,418.08
"SO - 0002642",Online,WARE-MKL1006,2019-02-04,2019-03-26,2019-03-28,2019-04-03,USD,12,13,341,17,3,0.1,452.25,904.5,2713.5,1356.75,1356.75,2442.15
"SO - 0002645",Online,WARE-PUJ1005,2018-10-27,2019-03-26,2019-04-08,2019-04-18,USD,13,48,319,25,3,0.15,95.68,227.8,683.4,287.04,396.36,580.89
"SO - 0002650",Wholesale,WARE-NMK1003,2019-02-04,2019-03-27,2019-04-14,2019-04-16,USD,28,36,199,35,3,0.075,170.25,221.1,663.3,510.75,152.55,613.55
